"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"California"	"06"	"60-64 years "	"60-64"	"2008"	"2008"	15173	1654246	917.2
	"California"	"06"	"60-64 years "	"60-64"	"2009"	"2009"	15393	1749424	879.9
	"California"	"06"	"60-64 years "	"60-64"	"2010"	"2010"	16065	1832197	876.8
	"California"	"06"	"60-64 years "	"60-64"	"2011"	"2011"	16804	1938730	866.8
	"California"	"06"	"60-64 years "	"60-64"	"2012"	"2012"	17104	1953863	875.4
	"California"	"06"	"60-64 years "	"60-64"	"2013"	"2013"	17528	2000250	876.3
	"California"	"06"	"60-64 years "	"60-64"	"2014"	"2014"	17772	2065154	860.6
	"California"	"06"	"60-64 years "	"60-64"	"2015"	"2015"	18459	2127746	867.5
	"California"	"06"	"60-64 years "	"60-64"	"2016"	"2016"	19179	2173251	882.5
	"California"	"06"	"60-64 years "	"60-64"	"2017"	"2017"	19210	2233922	859.9
	"California"	"06"	"60-64 years "	"60-64"	"2018"	"2018"	19484	2262416	861.2
	"California"	"06"	"65-69 years"	"65-69"	"1999"	"1999"	17166	985605	1741.7
	"California"	"06"	"65-69 years"	"65-69"	"2000"	"2000"	16507	984535	1676.6
	"California"	"06"	"65-69 years"	"65-69"	"2001"	"2001"	16676	993690	1678.2
	"California"	"06"	"65-69 years"	"65-69"	"2002"	"2002"	16226	1008072	1609.6
	"California"	"06"	"65-69 years"	"65-69"	"2003"	"2003"	16285	1033339	1576.0
	"California"	"06"	"65-69 years"	"65-69"	"2004"	"2004"	15770	1057084	1491.8
	"California"	"06"	"65-69 years"	"65-69"	"2005"	"2005"	16015	1078678	1484.7
	"California"	"06"	"65-69 years"	"65-69"	"2006"	"2006"	15941	1099377	1450.0
	"California"	"06"	"65-69 years"	"65-69"	"2007"	"2007"	15697	1140443	1376.4
	"California"	"06"	"65-69 years"	"65-69"	"2008"	"2008"	16588	1204606	1377.0
	"California"	"06"	"65-69 years"	"65-69"	"2009"	"2009"	16640	1261765	1318.8
	"California"	"06"	"65-69 years"	"65-69"	"2010"	"2010"	16776	1303558	1286.9
	"California"	"06"	"65-69 years"	"65-69"	"2011"	"2011"	17101	1367343	1250.7
	"California"	"06"	"65-69 years"	"65-69"	"2012"	"2012"	18599	1488524	1249.5
	"California"	"06"	"65-69 years"	"65-69"	"2013"	"2013"	19155	1575136	1216.1
	"California"	"06"	"65-69 years"	"65-69"	"2014"	"2014"	19824	1664207	1191.2
	"California"	"06"	"65-69 years"	"65-69"	"2015"	"2015"	21598	1751578	1233.1
	"California"	"06"	"65-69 years"	"65-69"	"2016"	"2016"	22242	1820671	1221.6
	"California"	"06"	"65-69 years"	"65-69"	"2017"	"2017"	22906	1825565	1254.7
	"California"	"06"	"65-69 years"	"65-69"	"2018"	"2018"	22832	1853102	1232.1
	"California"	"06"	"70-74 years"	"70-74"	"1999"	"1999"	24693	902399	2736.4
	"California"	"06"	"70-74 years"	"70-74"	"2000"	"2000"	23742	903288	2628.4
	"California"	"06"	"70-74 years"	"70-74"	"2001"	"2001"	23274	904187	2574.0
	"California"	"06"	"70-74 years"	"70-74"	"2002"	"2002"	22854	899390	2541.1
	"California"	"06"	"70-74 years"	"70-74"	"2003"	"2003"	22121	896323	2468.0
	"California"	"06"	"70-74 years"	"70-74"	"2004"	"2004"	21152	893251	2368.0
	"California"	"06"	"70-74 years"	"70-74"	"2005"	"2005"	20652	893815	2310.5
	"California"	"06"	"70-74 years"	"70-74"	"2006"	"2006"	19905	893496	2227.8
	"California"	"06"	"70-74 years"	"70-74"	"2007"	"2007"	19659	905608	2170.8
	"California"	"06"	"70-74 years"	"70-74"	"2008"	"2008"	19522	928138	2103.4
	"California"	"06"	"70-74 years"	"70-74"	"2009"	"2009"	19277	954464	2019.7
	"California"	"06"	"70-74 years"	"70-74"	"2010"	"2010"	19314	971778	1987.5
	"California"	"06"	"70-74 years"	"70-74"	"2011"	"2011"	19655	1009723	1946.6
	"California"	"06"	"70-74 years"	"70-74"	"2012"	"2012"	20010	1050595	1904.6
	"California"	"06"	"70-74 years"	"70-74"	"2013"	"2013"	21229	1113849	1905.9
	"California"	"06"	"70-74 years"	"70-74"	"2014"	"2014"	21434	1170153	1831.7
	"California"	"06"	"70-74 years"	"70-74"	"2015"	"2015"	23182	1225825	1891.1
	"California"	"06"	"70-74 years"	"70-74"	"2016"	"2016"	23592	1268331	1860.1
	"California"	"06"	"70-74 years"	"70-74"	"2017"	"2017"	25123	1370235	1833.5
	"California"	"06"	"70-74 years"	"70-74"	"2018"	"2018"	25971	1432312	1813.2
	"California"	"06"	"75-79 years"	"75-79"	"1999"	"1999"	32491	766688	4237.8
	"California"	"06"	"75-79 years"	"75-79"	"2000"	"2000"	32401	779347	4157.5
	"California"	"06"	"75-79 years"	"75-79"	"2001"	"2001"	32264	785430	4107.8
	"California"	"06"	"75-79 years"	"75-79"	"2002"	"2002"	31276	783379	3992.4
	"California"	"06"	"75-79 years"	"75-79"	"2003"	"2003"	30762	781302	3937.3
	"California"	"06"	"75-79 years"	"75-79"	"2004"	"2004"	29029	771676	3761.8
	"California"	"06"	"75-79 years"	"75-79"	"2005"	"2005"	28609	772166	3705.0
	"California"	"06"	"75-79 years"	"75-79"	"2006"	"2006"	27662	765946	3611.5
	"California"	"06"	"75-79 years"	"75-79"	"2007"	"2007"	26800	762259	3515.9
	"California"	"06"	"75-79 years"	"75-79"	"2008"	"2008"	25856	761030	3397.5
	"California"	"06"	"75-79 years"	"75-79"	"2009"	"2009"	24970	763593	3270.1
	"California"	"06"	"75-79 years"	"75-79"	"2010"	"2010"	24656	766971	3214.7
	"California"	"06"	"75-79 years"	"75-79"	"2011"	"2011"	24766	777042	3187.2
	"California"	"06"	"75-79 years"	"75-79"	"2012"	"2012"	24782	792877	3125.6
	"California"	"06"	"75-79 years"	"75-79"	"2013"	"2013"	25352	816842	3103.7
	"California"	"06"	"75-79 years"	"75-79"	"2014"	"2014"	24989	847001	2950.3
	"California"	"06"	"75-79 years"	"75-79"	"2015"	"2015"	26257	873911	3004.5
	"California"	"06"	"75-79 years"	"75-79"	"2016"	"2016"	26967	898262	3002.1
	"California"	"06"	"75-79 years"	"75-79"	"2017"	"2017"	27737	929630	2983.7
	"California"	"06"	"75-79 years"	"75-79"	"2018"	"2018"	28572	976718	2925.3
	"California"	"06"	"80-84 years"	"80-84"	"1999"	"1999"	34241	492951	6946.1
	"California"	"06"	"80-84 years"	"80-84"	"2000"	"2000"	34408	502831	6842.9
	"California"	"06"	"80-84 years"	"80-84"	"2001"	"2001"	35580	531112	6699.2
	"California"	"06"	"80-84 years"	"80-84"	"2002"	"2002"	36480	554814	6575.2
	"California"	"06"	"80-84 years"	"80-84"	"2003"	"2003"	37523	573411	6543.8
	"California"	"06"	"80-84 years"	"80-84"	"2004"	"2004"	36697	590328	6216.4
	"California"	"06"	"80-84 years"	"80-84"	"2005"	"2005"	36934	601355	6141.8
	"California"	"06"	"80-84 years"	"80-84"	"2006"	"2006"	36532	600752	6081.0
	"California"	"06"	"80-84 years"	"80-84"	"2007"	"2007"	34986	601524	5816.2
	"California"	"06"	"80-84 years"	"80-84"	"2008"	"2008"	34653	602079	5755.6
	"California"	"06"	"80-84 years"	"80-84"	"2009"	"2009"	32892	599827	5483.6
	"California"	"06"	"80-84 years"	"80-84"	"2010"	"2010"	32884	603239	5451.2
	"California"	"06"	"80-84 years"	"80-84"	"2011"	"2011"	33178	610882	5431.2
	"California"	"06"	"80-84 years"	"80-84"	"2012"	"2012"	32389	613808	5276.7
	"California"	"06"	"80-84 years"	"80-84"	"2013"	"2013"	32546	617438	5271.1
	"California"	"06"	"80-84 years"	"80-84"	"2014"	"2014"	31415	623036	5042.2
	"California"	"06"	"80-84 years"	"80-84"	"2015"	"2015"	32429	629663	5150.2
	"California"	"06"	"80-84 years"	"80-84"	"2016"	"2016"	32154	637038	5047.4
	"California"	"06"	"80-84 years"	"80-84"	"2017"	"2017"	32795	647135	5067.7
	"California"	"06"	"80-84 years"	"80-84"	"2018"	"2018"	33167	663308	5000.2
	"California"	"06"	"85-89 years"	"85-89"	"1999"	"1999"	31081	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2000"	"2000"	31551	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2001"	"2001"	32716	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2002"	"2002"	33036	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2003"	"2003"	33734	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2004"	"2004"	32561	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2005"	"2005"	33868	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2006"	"2006"	35007	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2007"	"2007"	35025	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2008"	"2008"	36303	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2009"	"2009"	36804	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2010"	"2010"	37976	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2011"	"2011"	38188	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2012"	"2012"	38011	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2013"	"2013"	38239	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2014"	"2014"	36145	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2015"	"2015"	37898	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2016"	"2016"	37529	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2017"	"2017"	37958	Not Applicable	Not Applicable
	"California"	"06"	"85-89 years"	"85-89"	"2018"	"2018"	37370	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"1999"	"1999"	20177	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2000"	"2000"	20704	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2001"	"2001"	21019	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2002"	"2002"	21320	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2003"	"2003"	22609	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2004"	"2004"	21889	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2005"	"2005"	23281	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2006"	"2006"	23695	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2007"	"2007"	23405	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2008"	"2008"	24277	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2009"	"2009"	24030	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2010"	"2010"	25678	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2011"	"2011"	27929	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2012"	"2012"	29171	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2013"	"2013"	30730	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2014"	"2014"	30686	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2015"	"2015"	33163	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2016"	"2016"	32963	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2017"	"2017"	33961	Not Applicable	Not Applicable
	"California"	"06"	"90-94 years"	"90-94"	"2018"	"2018"	32913	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"1999"	"1999"	8127	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2000"	"2000"	8155	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2001"	"2001"	8135	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2002"	"2002"	8250	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2003"	"2003"	8740	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2004"	"2004"	8566	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2005"	"2005"	9102	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2006"	"2006"	9324	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2007"	"2007"	9352	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2008"	"2008"	9984	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2009"	"2009"	10042	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2010"	"2010"	10708	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2011"	"2011"	11264	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2012"	"2012"	11540	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2013"	"2013"	12398	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2014"	"2014"	12252	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2015"	"2015"	13691	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2016"	"2016"	14683	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2017"	"2017"	16023	Not Applicable	Not Applicable
	"California"	"06"	"95-99 years"	"95-99"	"2018"	"2018"	16299	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"1999"	"1999"	1712	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2000"	"2000"	1722	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2001"	"2001"	1875	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2002"	"2002"	1796	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2003"	"2003"	1919	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2004"	"2004"	1918	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2005"	"2005"	1953	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2006"	"2006"	1988	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2007"	"2007"	2008	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2008"	"2008"	2039	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2009"	"2009"	2106	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2010"	"2010"	2184	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2011"	"2011"	2417	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2012"	"2012"	2516	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2013"	"2013"	2686	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2014"	"2014"	2888	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2015"	"2015"	3196	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2016"	"2016"	3156	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2017"	"2017"	3426	Not Applicable	Not Applicable
	"California"	"06"	"100+ years"	"100+"	"2018"	"2018"	3591	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"1999"	"1999"	81	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2000"	"2000"	108	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2001"	"2001"	103	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2002"	"2002"	69	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2003"	"2003"	82	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2004"	"2004"	57	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2005"	"2005"	48	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2006"	"2006"	45	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2007"	"2007"	43	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2008"	"2008"	35	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2009"	"2009"	30	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2010"	"2010"	28	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2011"	"2011"	22	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2012"	"2012"	17	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2013"	"2013"	24	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2014"	"2014"	23	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2015"	"2015"	15	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2016"	"2016"	25	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2017"	"2017"	18	Not Applicable	Not Applicable
	"California"	"06"	"Not Stated"	"NS"	"2018"	"2018"	24	Not Applicable	Not Applicable
	"Colorado"	"08"	"< 1 year"	"1"	"1999"	"1999"	416	60120	691.9
	"Colorado"	"08"	"< 1 year"	"1"	"2000"	"2000"	404	60823	664.2
	"Colorado"	"08"	"< 1 year"	"1"	"2001"	"2001"	388	66788	580.9
	"Colorado"	"08"	"< 1 year"	"1"	"2002"	"2002"	415	66280	626.1
	"Colorado"	"08"	"< 1 year"	"1"	"2003"	"2003"	420	66624	630.4
	"Colorado"	"08"	"< 1 year"	"1"	"2004"	"2004"	434	66137	656.2
	"Colorado"	"08"	"< 1 year"	"1"	"2005"	"2005"	444	66747	665.2
	"Colorado"	"08"	"< 1 year"	"1"	"2006"	"2006"	404	67456	598.9
	"Colorado"	"08"	"< 1 year"	"1"	"2007"	"2007"	433	68795	629.4
	"Colorado"	"08"	"< 1 year"	"1"	"2008"	"2008"	437	67363	648.7
	"Colorado"	"08"	"< 1 year"	"1"	"2009"	"2009"	429	66225	647.8
	"Colorado"	"08"	"< 1 year"	"1"	"2010"	"2010"	392	66594	588.6
	"Colorado"	"08"	"< 1 year"	"1"	"2011"	"2011"	362	66477	544.5
	"Colorado"	"08"	"< 1 year"	"1"	"2012"	"2012"	298	66093	450.9
	"Colorado"	"08"	"< 1 year"	"1"	"2013"	"2013"	331	65958	501.8
	"Colorado"	"08"	"< 1 year"	"1"	"2014"	"2014"	315	66471	473.9
	"Colorado"	"08"	"< 1 year"	"1"	"2015"	"2015"	309	67322	459.0
	"Colorado"	"08"	"< 1 year"	"1"	"2016"	"2016"	319	67691	471.3
	"Colorado"	"08"	"< 1 year"	"1"	"2017"	"2017"	291	67468	431.3
	"Colorado"	"08"	"< 1 year"	"1"	"2018"	"2018"	298	66125	450.7
	"Colorado"	"08"	"1-4 years"	"1-4"	"1999"	"1999"	78	231098	33.8
	"Colorado"	"08"	"1-4 years"	"1-4"	"2000"	"2000"	72	236682	30.4
	"Colorado"	"08"	"1-4 years"	"1-4"	"2001"	"2001"	72	242441	29.7
	"Colorado"	"08"	"1-4 years"	"1-4"	"2002"	"2002"	76	249899	30.4
	"Colorado"	"08"	"1-4 years"	"1-4"	"2003"	"2003"	80	255718	31.3
	"Colorado"	"08"	"1-4 years"	"1-4"	"2004"	"2004"	54	259849	20.8
	"Colorado"	"08"	"1-4 years"	"1-4"	"2005"	"2005"	83	264110	31.4
	"Colorado"	"08"	"1-4 years"	"1-4"	"2006"	"2006"	86	267014	32.2
	"Colorado"	"08"	"1-4 years"	"1-4"	"2007"	"2007"	59	271047	21.8
	"Colorado"	"08"	"1-4 years"	"1-4"	"2008"	"2008"	71	275494	25.8
	"Colorado"	"08"	"1-4 years"	"1-4"	"2009"	"2009"	56	277503	20.2
	"Colorado"	"08"	"1-4 years"	"1-4"	"2010"	"2010"	88	277366	31.7
	"Colorado"	"08"	"1-4 years"	"1-4"	"2011"	"2011"	57	275677	20.7
	"Colorado"	"08"	"1-4 years"	"1-4"	"2012"	"2012"	65	271475	23.9
	"Colorado"	"08"	"1-4 years"	"1-4"	"2013"	"2013"	80	269178	29.7
	"Colorado"	"08"	"1-4 years"	"1-4"	"2014"	"2014"	60	268460	22.3
	"Colorado"	"08"	"1-4 years"	"1-4"	"2015"	"2015"	56	268285	20.9
	"Colorado"	"08"	"1-4 years"	"1-4"	"2016"	"2016"	51	269773	18.9
	"Colorado"	"08"	"1-4 years"	"1-4"	"2017"	"2017"	58	268739	21.6
	"Colorado"	"08"	"1-4 years"	"1-4"	"2018"	"2018"	77	270729	28.4
	"Colorado"	"08"	"5-9 years"	"5-9"	"1999"	"1999"	51	304910	16.7
	"Colorado"	"08"	"5-9 years"	"5-9"	"2000"	"2000"	39	308428	12.6
	"Colorado"	"08"	"5-9 years"	"5-9"	"2001"	"2001"	42	308219	13.6
	"Colorado"	"08"	"5-9 years"	"5-9"	"2002"	"2002"	44	305736	14.4
	"Colorado"	"08"	"5-9 years"	"5-9"	"2003"	"2003"	36	302711	11.9
	"Colorado"	"08"	"5-9 years"	"5-9"	"2004"	"2004"	42	301885	13.9
	"Colorado"	"08"	"5-9 years"	"5-9"	"2005"	"2005"	49	304874	16.1
	"Colorado"	"08"	"5-9 years"	"5-9"	"2006"	"2006"	31	313990	9.9
	"Colorado"	"08"	"5-9 years"	"5-9"	"2007"	"2007"	48	322967	14.9
	"Colorado"	"08"	"5-9 years"	"5-9"	"2008"	"2008"	43	333114	12.9
	"Colorado"	"08"	"5-9 years"	"5-9"	"2009"	"2009"	42	342826	12.3
	"Colorado"	"08"	"5-9 years"	"5-9"	"2010"	"2010"	31	348603	8.9
	"Colorado"	"08"	"5-9 years"	"5-9"	"2011"	"2011"	45	351099	12.8
	"Colorado"	"08"	"5-9 years"	"5-9"	"2012"	"2012"	37	354134	10.4
	"Colorado"	"08"	"5-9 years"	"5-9"	"2013"	"2013"	32	355483	9.0
	"Colorado"	"08"	"5-9 years"	"5-9"	"2014"	"2014"	34	354991	9.6
	"Colorado"	"08"	"5-9 years"	"5-9"	"2015"	"2015"	31	355814	8.7
	"Colorado"	"08"	"5-9 years"	"5-9"	"2016"	"2016"	42	353344	11.9
	"Colorado"	"08"	"5-9 years"	"5-9"	"2017"	"2017"	37	349903	10.6
	"Colorado"	"08"	"5-9 years"	"5-9"	"2018"	"2018"	38	347953	10.9
	"Colorado"	"08"	"10-14 years"	"10-14"	"1999"	"1999"	55	306407	17.9
	"Colorado"	"08"	"10-14 years"	"10-14"	"2000"	"2000"	77	311497	24.7
	"Colorado"	"08"	"10-14 years"	"10-14"	"2001"	"2001"	76	320321	23.7
	"Colorado"	"08"	"10-14 years"	"10-14"	"2002"	"2002"	66	323786	20.4
	"Colorado"	"08"	"10-14 years"	"10-14"	"2003"	"2003"	68	325590	20.9
	"Colorado"	"08"	"10-14 years"	"10-14"	"2004"	"2004"	56	324457	17.3
	"Colorado"	"08"	"10-14 years"	"10-14"	"2005"	"2005"	58	322722	18.0
	"Colorado"	"08"	"10-14 years"	"10-14"	"2006"	"2006"	53	322968	16.4
	"Colorado"	"08"	"10-14 years"	"10-14"	"2007"	"2007"	39	323327	12.1
	"Colorado"	"08"	"10-14 years"	"10-14"	"2008"	"2008"	56	324735	17.2
	"Colorado"	"08"	"10-14 years"	"10-14"	"2009"	"2009"	57	329032	17.3
	"Colorado"	"08"	"10-14 years"	"10-14"	"2010"	"2010"	42	332654	12.6
	"Colorado"	"08"	"10-14 years"	"10-14"	"2011"	"2011"	42	337983	12.4
	"Colorado"	"08"	"10-14 years"	"10-14"	"2012"	"2012"	50	341626	14.6
	"Colorado"	"08"	"10-14 years"	"10-14"	"2013"	"2013"	57	348251	16.4
	"Colorado"	"08"	"10-14 years"	"10-14"	"2014"	"2014"	57	353628	16.1
	"Colorado"	"08"	"10-14 years"	"10-14"	"2015"	"2015"	61	357834	17.0
	"Colorado"	"08"	"10-14 years"	"10-14"	"2016"	"2016"	54	359675	15.0
	"Colorado"	"08"	"10-14 years"	"10-14"	"2017"	"2017"	63	363136	17.3
	"Colorado"	"08"	"10-14 years"	"10-14"	"2018"	"2018"	61	365378	16.7
	"Colorado"	"08"	"15-19 years"	"15-19"	"1999"	"1999"	226	302365	74.7
	"Colorado"	"08"	"15-19 years"	"15-19"	"2000"	"2000"	184	307238	59.9
	"Colorado"	"08"	"15-19 years"	"15-19"	"2001"	"2001"	224	319058	70.2
	"Colorado"	"08"	"15-19 years"	"15-19"	"2002"	"2002"	235	323712	72.6
	"Colorado"	"08"	"15-19 years"	"15-19"	"2003"	"2003"	208	325785	63.8
	"Colorado"	"08"	"15-19 years"	"15-19"	"2004"	"2004"	241	326646	73.8
	"Colorado"	"08"	"15-19 years"	"15-19"	"2005"	"2005"	193	331051	58.3
	"Colorado"	"08"	"15-19 years"	"15-19"	"2006"	"2006"	203	334123	60.8
	"Colorado"	"08"	"15-19 years"	"15-19"	"2007"	"2007"	187	337309	55.4
	"Colorado"	"08"	"15-19 years"	"15-19"	"2008"	"2008"	197	340380	57.9
	"Colorado"	"08"	"15-19 years"	"15-19"	"2009"	"2009"	182	341224	53.3
	"Colorado"	"08"	"15-19 years"	"15-19"	"2010"	"2010"	161	339475	47.4
	"Colorado"	"08"	"15-19 years"	"15-19"	"2011"	"2011"	158	340042	46.5
	"Colorado"	"08"	"15-19 years"	"15-19"	"2012"	"2012"	145	339447	42.7
	"Colorado"	"08"	"15-19 years"	"15-19"	"2013"	"2013"	170	339507	50.1
	"Colorado"	"08"	"15-19 years"	"15-19"	"2014"	"2014"	159	343288	46.3
	"Colorado"	"08"	"15-19 years"	"15-19"	"2015"	"2015"	181	348825	51.9
	"Colorado"	"08"	"15-19 years"	"15-19"	"2016"	"2016"	193	354394	54.5
	"Colorado"	"08"	"15-19 years"	"15-19"	"2017"	"2017"	216	356450	60.6
	"Colorado"	"08"	"15-19 years"	"15-19"	"2018"	"2018"	200	363364	55.0
	"Colorado"	"08"	"20-24 years"	"20-24"	"1999"	"1999"	228	294419	77.4
	"Colorado"	"08"	"20-24 years"	"20-24"	"2000"	"2000"	268	306238	87.5
	"Colorado"	"08"	"20-24 years"	"20-24"	"2001"	"2001"	275	323532	85.0
	"Colorado"	"08"	"20-24 years"	"20-24"	"2002"	"2002"	289	332961	86.8
	"Colorado"	"08"	"20-24 years"	"20-24"	"2003"	"2003"	307	334835	91.7
	"Colorado"	"08"	"20-24 years"	"20-24"	"2004"	"2004"	270	338785	79.7
	"Colorado"	"08"	"20-24 years"	"20-24"	"2005"	"2005"	357	339556	105.1
	"Colorado"	"08"	"20-24 years"	"20-24"	"2006"	"2006"	333	343668	96.9
	"Colorado"	"08"	"20-24 years"	"20-24"	"2007"	"2007"	264	341920	77.2
	"Colorado"	"08"	"20-24 years"	"20-24"	"2008"	"2008"	309	343707	89.9
	"Colorado"	"08"	"20-24 years"	"20-24"	"2009"	"2009"	311	345713	90.0
